datetime,open,high,low,close,volume
1633377600000,49377.8,49468.3,48985.0,49001.6,183.77729841
1633381200000,49001.7,49149.0,48569.3,48922.5,129.6787628
1633384800000,48922.6,49061.5,48686.2,48907.7,105.36690663
1633388400000,48909.4,49436.7,48891.2,49217.1,289.56766429
1633392000000,49217.1,49800.0,49029.0,49520.1,944.52033491
1633395600000,49524.4,49595.8,49170.9,49233.1,379.09792322
1633399200000,49233.1,49378.7,49060.9,49316.3,419.2914945
1633402800000,49316.3,49477.4,49129.3,49300.6,316.48903949
1633406400000,49300.6,49316.3,49092.6,49162.9,119.49771246
1633410000000,49162.9,49423.8,49136.6,49321.5,122.02082561
1633413600000,49321.6,49466.7,49253.9,49300.5,121.039308
1633417200000,49300.5,49653.6,49250.0,49482.7,193.23302865
1633420800000,49482.7,49957.8,49400.0,49924.7,399.63847899
1633424400000,49924.7,50327.8,49581.5,50271.1,698.95212076
1633428000000,50271.1,50356.4,49850.6,49992.3,242.63441
1633431600000,49992.4,50128.4,49806.6,49883.0,176.51986191
1633435200000,49882.9,50116.7,49709.4,49996.6,187.13964093
1633438800000,49997.5,50329.2,49776.3,50216.0,307.55795642
1633442400000,50216.1,50379.3,49612.9,49836.5,460.4065865
1633446000000,49836.5,50171.8,49696.4,49789.6,259.66236856
1633449600000,49789.6,50101.6,49645.5,50096.4,266.41436075
1633453200000,50096.4,50209.2,49960.0,50143.1,156.02402817
1633456800000,50143.2,50790.6,50143.2,50611.4,486.42226979
1633460400000,50611.4,51414.1,50567.4,51173.2,778.5475139
1633464000000,51178.8,51800.0,51113.9,51456.5,839.27685332
1633467600000,51456.5,51879.7,51312.9,51723.5,346.23444862
1633471200000,51723.4,51772.2,51320.1,51354.2,272.54488577
1633474800000,51354.2,51615.7,51354.2,51468.1,134.69676145
1633478400000,51468.1,51499.7,51216.8,51328.2,228.34211669
1633482000000,51328.2,51338.6,50915.1,51282.3,257.45021039
1633485600000,51282.3,51593.5,51156.7,51545.6,158.85132978
1633489200000,51545.6,51598.5,51300.3,51521.6,169.22269484
1633492800000,51521.5,51588.1,51250.0,51329.1,620.64306131
1633496400000,51329.1,51838.7,51209.4,51531.9,397.49053348
1633500000000,51531.8,51740.2,51500.0,51532.1,1520.12745136
1633503600000,51531.9,51572.5,51237.4,51457.6,2362.76178198
1633507200000,51457.5,51505.1,50462.8,50720.1,4053.80290436
1633510800000,50720.1,50836.3,50404.4,50705.1,1279.63861346
1633514400000,50705.1,51494.2,50636.1,51177.9,993.59485476
1633518000000,51177.9,51479.8,51110.0,51320.0,311.70935053
1633521600000,51320.0,52829.0,51277.2,52753.0,1217.0198194
1633525200000,52747.7,56000.0,52628.2,53992.6,6659.26039454
1633528800000,53997.2,54520.0,53762.0,54489.3,869.32857466
1633532400000,54489.3,55118.3,54269.4,54988.9,754.47288132
1633536000000,54988.8,55043.6,54482.7,54888.1,630.45069794
1633539600000,54888.1,54908.5,54536.3,54586.3,361.87650456
1633543200000,54586.3,55107.3,54505.0,54543.6,492.93352378
1633546800000,54543.6,55080.0,54540.8,55056.7,622.45719418
1633550400000,55056.7,55402.8,54823.6,54924.6,597.30508915
1633554000000,54924.6,55264.3,54898.6,55078.8,218.3265221
1633557600000,55078.8,55277.9,54870.2,55153.8,259.65030736
1633561200000,55153.8,55764.6,55109.1,55312.9,778.83230418
1633564800000,55320.3,55333.1,54525.5,54806.4,743.28207349
1633568400000,54803.5,54907.1,54128.6,54796.4,950.17803894
1633572000000,54796.4,55232.9,54703.1,55079.6,330.31967057
1633575600000,55079.6,55215.1,54744.8,54815.9,247.8330947
1633579200000,54815.9,55225.9,54767.1,55077.7,183.36897486
1633582800000,55075.2,55075.2,54587.5,54737.7,278.98749089
1633586400000,54737.8,54966.0,54395.4,54544.0,210.58318045
1633590000000,54541.9,54800.0,54270.5,54775.2,421.33588927
1633593600000,54772.4,54788.6,54397.7,54546.7,188.61588332
1633597200000,54546.7,54546.7,53812.0,54312.5,566.65659697
1633600800000,54320.4,54437.5,53836.1,53936.9,350.41993924
1633604400000,53934.3,54361.1,53904.0,54311.2,299.86412335
1633608000000,54311.2,54364.8,53650.0,53999.4,468.634121
1633611600000,53999.4,54699.0,53811.1,54581.2,450.57045447
1633615200000,54581.2,54694.4,53368.0,53809.0,927.34158213
1633618800000,53809.0,54217.9,53682.2,53917.0,360.65211713
1633622400000,53917.1,54357.2,53438.4,54150.8,528.24900473
1633626000000,54150.8,54311.2,54029.0,54181.6,283.81026191
1633629600000,54181.6,54230.3,53830.6,53911.6,188.89308213
1633633200000,53911.7,54165.5,53879.5,53974.0,221.41245678
1633636800000,53974.0,54332.9,53901.0,54170.9,226.54148872
1633640400000,54170.9,54510.6,54057.3,54269.9,164.70007528
1633644000000,54274.6,54647.9,53767.5,53916.2,454.4183442
1633647600000,53913.4,53962.6,53598.1,53788.6,233.46540119
1633651200000,53788.6,54219.6,53718.4,54123.3,240.85814842
1633654800000,54118.0,54399.9,54065.7,54303.5,193.72785806
1633658400000,54303.5,54421.0,53794.0,53845.3,254.06174434
1633662000000,53842.6,53934.4,53702.2,53825.5,856.86094938
1633665600000,53825.4,53972.1,53768.2,53879.8,697.84420353
1633669200000,53879.9,54193.9,53615.1,54170.9,595.61600938
1633672800000,54171.0,54275.0,53993.7,54130.0,2178.71928733
1633676400000,54130.0,54987.4,54011.1,54825.9,4074.33850097
1633680000000,54825.9,56215.5,54776.0,55807.1,2942.58484074
1633683600000,55804.4,55883.1,55066.2,55219.6,2461.55273984
1633687200000,55219.6,55559.8,55162.4,55470.6,340.6652325
